DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
2/25/2019,0,0,0,47,51,41
2/26/2019,0,0,0,44,53,34
2/27/2019,0,0,0,38,41,32
2/28/2019,0,0,0,43,50,39
3/1/2019,0.64,0.3,0,36,39,34
3/2/2019,0.05,0,0,39,49,36
3/3/2019,0.52,0,0,43,47,37
3/4/2019,0.01,0,0,38,43,30
3/5/2019,0,0,0,33,43,27
3/6/2019,0,0,0,29,34,22
3/7/2019,0,0,0,32,45,25
3/8/2019,0.21,0,0,36,41,32
3/9/2019,0.07,0,0,38,43,35
3/10/2019,0.41,0,0,45,60,40
3/11/2019,0,0,0,55,62,48
3/12/2019,0,0,0,48,53,39
3/13/2019,0,0,0,46,60,34
3/14/2019,0,0,0,56,75,46
3/15/2019,0,0,0,68,78,57
3/16/2019,0,0,0,55,57,42
3/17/2019,0,0,0,45,54,37
3/18/2019,0,0,0,45,51,40
3/19/2019,0,0,0,44,54,35
3/20/2019,0,0,0,46,57,38
3/21/2019,1.96,0,0,47,49,43
3/22/2019,0.09,0,0,47,55,39
3/23/2019,0,0,0,44,55,37
3/24/2019,0,0,0,50,66,35
3/25/2019,0,0,0,56,65,45
3/26/2019,0,0,0,46,52,39
3/27/2019,0,0,0,45,55,35
3/28/2019,0,0,0,48,62,37
3/29/2019,0,0,0,58,71,51
3/30/2019,0,0,0,63,79,52
3/31/2019,0.04,0,0,60,64,35
4/1/2019,0,0,0,41,51,34
4/2/2019,0.04,0,0,44,50,39
4/3/2019,0,0,0,52,72,38
4/4/2019,0,0,0,58,69,44
4/5/2019,0.09,0,0,52,56,47
4/6/2019,0,0,0,54,71,47
4/7/2019,0,0,0,62,75,51
4/8/2019,0.03,0,0,69,84,59
4/9/2019,0.01,0,0,69,81,61
4/10/2019,0,0,0,65,72,50
4/11/2019,0,0,0,57,62,49
4/12/2019,0.05,0,0,58,73,49
4/13/2019,0.37,0,0,67,77,63
4/14/2019,0,0,0,68,77,63
4/15/2019,0.72,0,0,63,75,47
4/16/2019,0,0,0,55,69,44
4/17/2019,0,0,0,63,71,56
4/18/2019,0,0,0,63,80,55
4/19/2019,0.31,0,0,71,76,66
4/20/2019,0,0,0,69,74,61
4/21/2019,0,0,0,62,72,52
4/22/2019,0,0,0,64,74,55
4/23/2019,0,0,0,68,82,54
4/24/2019,0,0,0,71,77,64
4/25/2019,0,0,0,68,77,62
4/26/2019,0.59,0,0,65,77,58
4/27/2019,0.03,0,0,62,72,54
4/28/2019,0,0,0,62,74,51
4/29/2019,0,0,0,54,62,47
4/30/2019,0,0,0,65,83,56
5/1/2019,0,0,0,65,70,59
5/2/2019,0.48,0,0,68,87,60
5/3/2019,0,0,0,71,79,65
5/4/2019,0.55,0,0,70,76,65
5/5/2019,0.65,0,0,67,68,60
5/6/2019,0,0,0,66,78,59
5/7/2019,0,0,0,70,81,61
5/8/2019,0,0,0,69,74,63
5/9/2019,0,0,0,67,78,62
5/10/2019,0.52,0,0,72,82,67
5/11/2019,0.41,0,0,68,74,58
5/12/2019,0.49,0,0,58,61,51
5/13/2019,0.59,0,0,53,60,50
5/14/2019,0,0,0,57,64,51
5/15/2019,0,0,0,62,76,50
5/16/2019,0.01,0,0,67,80,56
5/17/2019,0,0,0,67,82,59
5/18/2019,0,0,0,75,84,64
5/19/2019,0.24,0,0,74,87,65
5/20/2019,0,0,0,80,90,73
5/21/2019,0,0,0,70,73,62
5/22/2019,0,0,0,65,72,57
5/23/2019,0.31,0,0,70,85,61
5/24/2019,0,0,0,75,84,70
5/25/2019,0,0,0,74,82,67
5/26/2019,0.24,0,0,77,92,69
5/27/2019,0,0,0,78,85,70
5/28/2019,0.19,0,0,78,91,70
5/29/2019,0,0,0,83,93,74
5/30/2019,0.29,0,0,80,90,72
5/31/2019,0,0,0,76,85,67
6/1/2019,0,0,0,77,87,69
6/2/2019,0.01,0,0,76,85,67
6/3/2019,0,0,0,69,76,58
6/4/2019,0,0,0,67,78,54
6/5/2019,0.01,0,0,74,83,65
6/6/2019,0,0,0,80,90,71
6/7/2019,0,0,0,77,81,71
6/8/2019,0,0,0,76,83,68
6/9/2019,0.13,0,0,71,74,65
6/10/2019,0.37,0,0,68,77,64
6/11/2019,0.14,0,0,73,81,64
6/12/2019,0.08,0,0,71,78,64
6/13/2019,1.05,0,0,69,79,61
6/14/2019,0,0,0,67,79,57
6/15/2019,0,0,0,71,84,61
6/16/2019,0,0,0,77,87,68
6/17/2019,0.99,0,0,81,91,74
6/18/2019,1.16,0,0,77,88,72
6/19/2019,0,0,0,77,87,72
6/20/2019,0.08,0,0,82,92,73
6/21/2019,0,0,0,77,85,71
6/22/2019,0,0,0,76,83,66
6/23/2019,0,0,0,75,84,63
6/24/2019,0.02,0,0,78,88,70
6/25/2019,0.19,0,0,80,90,74
6/26/2019,0,0,0,83,91,72
6/27/2019,0,0,0,84,92,74
6/28/2019,0,0,0,81,95,72
6/29/2019,0.04,0,0,83,96,72
6/30/2019,0,0,0,82,92,73
7/1/2019,0,0,0,80,88,69
7/2/2019,0.42,0,0,81,94,70
7/3/2019,0,0,0,82,93,73
7/4/2019,0.23,0,0,83,91,76
7/5/2019,0.01,0,0,81,90,77
7/6/2019,0.72,0,0,84,92,74
7/7/2019,0,0,0,80,89,75
7/8/2019,3.44,0,0,78,80,71
7/9/2019,0,0,0,76,86,67
7/10/2019,0,0,0,79,87,71
7/11/2019,0.88,0,0,80,91,72
7/12/2019,0,0,0,79,90,72
7/13/2019,0,0,0,82,91,73
7/14/2019,0,0,0,85,94,75
7/15/2019,0,0,0,83,90,72
7/16/2019,0,0,0,84,93,75
7/17/2019,0.29,0,0,85,95,74
7/18/2019,0,0,0,83,93,78
7/19/2019,0,0,0,87,96,79
7/20/2019,0,0,0,89,97,81
7/21/2019,0,0,0,91,99,80
7/22/2019,0.03,0,0,84,96,76
7/23/2019,0.08,0,0,74,77,70
7/24/2019,0.37,0,0,76,87,69
7/25/2019,0.01,0,0,76,88,65
7/26/2019,0,0,0,79,90,69
7/27/2019,0,0,0,80,89,71
7/28/2019,0,0,0,82,92,73
7/29/2019,0,0,0,84,94,75
7/30/2019,0,0,0,85,95,76
7/31/2019,0.01,0,0,82,90,74
8/1/2019,0,0,0,80,91,71
8/2/2019,0,0,0,79,87,72
8/3/2019,0,0,0,81,91,74
8/4/2019,0,0,0,83,92,76
8/5/2019,0,0,0,81,89,73
8/6/2019,0,0,0,81,92,72
8/7/2019,0.9,0,0,81,94,72
8/8/2019,0,0,0,80,92,72
8/9/2019,0,0,0,84,93,75
8/10/2019,0,0,0,78,85,66
8/11/2019,0,0,0,78,86,68
8/12/2019,0,0,0,79,92,70
8/13/2019,0.12,0,0,81,85,77
8/14/2019,0,0,0,82,90,76
8/15/2019,0.2,0,0,80,88,76
8/16/2019,0,0,0,80,89,74
8/17/2019,0,0,0,83,92,76
8/18/2019,0,0,0,84,96,76
8/19/2019,0,0,0,86,98,78
8/20/2019,0.36,0,0,85,96,74
8/21/2019,0.01,0,0,80,93,72
8/22/2019,0,0,0,84,95,76
8/23/2019,0.38,0,0,76,79,68
8/24/2019,0,0,0,71,81,64
8/25/2019,0,0,0,72,80,65
8/26/2019,0,0,0,70,76,64
8/27/2019,0,0,0,72,80,66
8/28/2019,0.02,0,0,75,84,68
8/29/2019,0,0,0,76,86,67
8/30/2019,0,0,0,76,89,65
8/31/2019,0,0,0,80,91,70
9/1/2019,0,0,0,78,83,71
9/2/2019,0.05,0,0,78,89,72
9/3/2019,0,0,0,78,89,71
9/4/2019,0.02,0,0,81,96,72
9/5/2019,0,0,0,78,81,72
9/6/2019,0,0,0,72,77,66
9/7/2019,0,0,0,73,86,63
9/8/2019,0,0,0,75,84,64
9/9/2019,0,0,0,77,85,70
9/10/2019,0,0,0,78,89,69
9/11/2019,0.01,0,0,79,93,71
9/12/2019,0.03,0,0,83,98,74
9/13/2019,0,0,0,73,76,68
9/14/2019,0,0,0,73,81,67
9/15/2019,0,0,0,80,90,72
9/16/2019,0,0,0,78,92,68
9/17/2019,0,0,0,78,82,68
9/18/2019,0,0,0,71,80,63
9/19/2019,0,0,0,67,76,59
9/20/2019,0,0,0,67,79,55
9/21/2019,0,0,0,72,88,61
9/22/2019,0,0,0,80,93,70
9/23/2019,0,0,0,81,94,72
9/24/2019,0,0,0,78,83,65
9/25/2019,0,0,0,72,84,61
9/26/2019,0,0,0,75,92,65
9/27/2019,0,0,0,74,84,64
9/28/2019,0,0,0,74,84,67
9/29/2019,0,0,0,80,91,72
9/30/2019,0.14,0,0,72,73,68
10/1/2019,0,0,0,75,87,69
10/2/2019,0,0,0,83,98,73
10/3/2019,0,0,0,79,82,73
10/4/2019,0,0,0,75,80,54
10/5/2019,0,0,0,58,67,49
10/6/2019,0,0,0,66,73,62
10/7/2019,0.02,0,0,74,84,63
10/8/2019,0,0,0,65,68,61
10/9/2019,0,0,0,64,73,56
10/10/2019,0,0,0,65,79,56
10/11/2019,0,0,0,66,77,55
10/12/2019,0,0,0,64,75,55
10/13/2019,0.12,0,0,60,67,56
10/14/2019,0,0,0,63,77,52
10/15/2019,0,0,0,63,73,50
10/16/2019,1.35,0,0,61,65,51
10/17/2019,0,0,0,56,61,50
10/18/2019,0,0,0,56,66,48
10/19/2019,0,0,0,55,66,44
10/20/2019,1.6,0,0,57,58,55
10/21/2019,0,0,0,60,70,55
10/22/2019,0.58,0,0,60,64,55
10/23/2019,0,0,0,59,67,49
10/24/2019,0,0,0,56,68,45
10/25/2019,0,0,0,58,70,50
10/26/2019,0,0,0,62,67,58
10/27/2019,1.48,0,0,68,80,61
10/28/2019,0,0,0,63,69,56
10/29/2019,0,0,0,62,68,59
10/30/2019,0.26,0,0,63,67,60
10/31/2019,1.25,0,0,67,77,53
11/1/2019,0,0,0,53,54,42
11/2/2019,0,0,0,46,56,37
11/3/2019,0,0,0,49,57,41
11/4/2019,0,0,0,49,61,39
11/5/2019,0,0,0,53,64,44
11/6/2019,0,0,0,52,60,44
11/7/2019,0.06,0,0,52,61,46
11/8/2019,0,0,0,44,47,35
11/9/2019,0,0,0,38,45,30
11/10/2019,0,0,0,44,56,36
11/11/2019,0,0,0,52,69,40
11/12/2019,0.07,0,0,50,60,30
11/13/2019,0,0,0,32,39,26
11/14/2019,0,0,0,34,42,28
11/15/2019,0,0,0,42,55,33
11/16/2019,0,0,0,42,47,37
11/17/2019,0,0,0,40,46,37
11/18/2019,0.29,0,0,43,49,40
11/19/2019,0.02,0,0,47,56,43
11/20/2019,0,0,0,50,55,46
11/21/2019,0,0,0,48,55,40
11/22/2019,0.22,0,0,51,56,40
11/23/2019,0.42,0,0,41,44,35
11/24/2019,0.28,0,0,45,54,40
11/25/2019,0,0,0,45,57,35
11/26/2019,0,0,0,48,62,38
11/27/2019,0.01,0,0,51,58,44
11/28/2019,0,0,0,50,54,43
11/29/2019,0,0,0,45,52,37
11/30/2019,0,0,0,43,46,41
12/1/2019,0.5,0,0,43,46,40
12/2/2019,0.01,0,0,42,44,40
12/3/2019,0,0,0,43,50,39
12/4/2019,0.01,0,0,42,50,36
12/5/2019,0,0,0,44,49,38
12/6/2019,0,0,0,43,53,36
12/7/2019,0,0,0,44,47,34
12/8/2019,0,0,0,38,48,31
12/9/2019,0.75,0,0,46,52,44
12/10/2019,0.13,0,0,55,60,39
12/11/2019,0.09,0.3,0,39,42,33
12/12/2019,0,0,0,35,41,29
12/13/2019,0.27,0,0,37,43,33
12/14/2019,0.12,0,0,45,52,41
12/15/2019,0,0,0,47,57,38
12/16/2019,0.41,0.1,0,38,40,34
12/17/2019,0.13,0,0,38,42,37
12/18/2019,0,0,0,38,44,27
12/19/2019,0,0,0,29,35,22
12/20/2019,0,0,0,32,43,24
12/21/2019,0,0,0,33,39,28
12/22/2019,0,0,0,35,47,27
12/23/2019,0,0,0,38,53,30
12/24/2019,0,0,0,42,54,33
12/25/2019,0,0,0,39,49,30
12/26/2019,0,0,0,40,55,31
12/27/2019,0,0,0,46,56,38
12/28/2019,0,0,0,50,67,38
12/29/2019,0.6,0,0,49,53,44
12/30/2019,0.26,0,0,55,66,45
12/31/2019,0,0,0,47,54,43
